DATE,GOLDAMGBD228NLBM
2014-10-08,1220.000
2014-10-09,1227.500
2014-10-10,1222.250
2014-10-13,1228.000
2014-10-14,1233.000
2014-10-15,1223.500
2014-10-16,1241.000
2014-10-17,1238.000
2014-10-20,1241.000
2014-10-21,1251.750
2014-10-22,1246.750
2014-10-23,1240.500
2014-10-24,1231.750
2014-10-27,1230.500
2014-10-28,1228.250
2014-10-29,1228.000
2014-10-30,1205.750
2014-10-31,1173.250
2014-11-03,1170.750
2014-11-04,1169.250
2014-11-05,1145.250
2014-11-06,1144.500
2014-11-07,1145.000
2014-11-10,1172.000
2014-11-11,1151.250
2014-11-12,1163.250
2014-11-13,1161.000
2014-11-14,1154.000
2014-11-17,1187.000
2014-11-18,1202.000
2014-11-19,1200.750
2014-11-20,1194.000
2014-11-21,1193.250
2014-11-24,1196.000
2014-11-25,1202.250
2014-11-26,1195.750
2014-11-27,1196.500
2014-11-28,1184.500
2014-12-01,1178.750
2014-12-02,1197.000
2014-12-03,1203.250
2014-12-04,1204.000
2014-12-05,1204.500
2014-12-08,1195.250
2014-12-09,1206.500
2014-12-10,1228.250
2014-12-11,1219.500
2014-12-12,1223.500
2014-12-15,1210.750
2014-12-16,1199.250
2014-12-17,1199.00
2014-12-18,1210.750
2014-12-19,1197.500
2014-12-22,1195.250
2014-12-23,1179.500
2014-12-24,1177.000
2014-12-25,.
2014-12-26,.
2014-12-29,1194.000
2014-12-30,1186.500
2014-12-31,1199.250
2015-01-01,.
2015-01-02,1184.250
2015-01-05,1192.000
2015-01-06,1211.000
2015-01-07,1213.750
2015-01-08,1206.500
2015-01-09,1211.250
2015-01-12,1222.000
2015-01-13,1239.000
2015-01-14,1228.750
2015-01-15,1235.250
2015-01-16,1258.250
2015-01-19,1275.500
2015-01-20,1292.250
2015-01-21,1298.000
2015-01-22,1287.000
2015-01-23,1293.500
2015-01-26,1282.750
2015-01-27,1279.000
2015-01-28,1287.000
2015-01-29,1275.500
2015-01-30,1263.500
2015-02-02,1274.250
2015-02-03,1281.000
2015-02-04,1269.250
2015-02-05,1263.750
2015-02-06,1264.000
2015-02-09,1242.250
